title,artist
When The Levee Breaks,Led Zeppelin
Come Together,The Beatles
Cissy Strut,The Meters
YYZ,Rush
One,Metallica
My Generation,The Who
Superstition,Stevie Wonder
Back in Black,AC/DC
Raining Blood,Slayer
Sunday Bloody Sunday,U2
