artist,name
Bastro,Diablo Guapo
Breadwinner,Burner
Shellac,At Action Park
U.S. Maple,Long Hair in Three Stages
Don Caballero,Don Caballero 2
A Minor Forest,Flemish Altruism (Constituent Parts 1993–1996)
Storm and Stress,Under Thunder and Fluorescent Light
Hella,Hold Your Horse Is
Lite,Filmlets
Marnie Stern,In Advance of the Broken Arm
